Language,Korean,English,ChineseSimplified,ChineseTraditional
buff_idx_1306_desc_key,바람속성 피해량 증가 {0},wind damage increased by {0},增加风属性伤害{0},增加風屬性傷害{0}
buff_idx_1307_desc_key,땅속성 피해량 증가 {0},soil damage increased by {0},增加土属性伤害{0},增加土屬性傷害{0}
buff_idx_5000_name_key,속사의 리볼버,Fast revolver,闪电左轮手枪,閃電左輪手槍
buff_idx_5001_name_key,VIP 회원증,VIP membership card,VIP会员卡,VIP會員卡
buff_idx_5002_name_key,황금 마차,Golden carriage,金色马车,金色馬車
buff_idx_5003_name_key,초심자의 다트,Darts for beginners,初学者的飞镖,初學者的飛鏢
buff_idx_5004_name_key,금 메달,gold medal,金牌,金牌
buff_idx_5005_name_key,메달 장식대,Medallion,奖牌装饰台,獎牌裝飾臺
buff_idx_5006_name_key,황금 트로피,Golden trophy,金奖杯,金獎杯
buff_idx_5007_name_key,황금 거위,Golden goose,黄金鹅,黃金鵝
buff_idx_5008_name_key,빛나는 열쇠,Glowing key,发光钥匙,發光鑰匙
buff_idx_5009_name_key,날카로운 죽창,Sharp bamboo spear,锋利的竹矛,鋒利的竹矛
buff_idx_5010_name_key,힘의 건틀릿,Power Gauntlets,力量护手,力量護手
buff_idx_5011_name_key,용사의 훈장,Warrior Medal,勇士勋章,勇士勳章
buff_idx_5012_name_key,미다스의 손,Midas's Hand,点金手,點金手
buff_idx_5013_name_key,속사의 장갑,Rapid Fire Gloves,快速射击手套,快速射擊手套
buff_idx_5000_desc_key,재장전단계 증가\n{0},reload level increased by \n{0},装载阶段提高\n {0},裝載階段提高\n {0}
buff_idx_5001_desc_key,무기 용병 업그레이드 할인\n{0},Weapon Mercenary Upgrade Discount\n{0},武器佣兵升级优惠\n {0},武器傭兵升級優惠\n {0}
buff_idx_5002_desc_key,보물상자 효율 증폭\n{0},Treasure Chest Efficiency increased by \n{0},宝箱效率提升\n {0},寶箱效率提升\n {0}
buff_idx_5003_desc_key,크리티컬 확률 증가\n{0},Critical Rate Increased by \n{0},提高暴击率\n {0},提高暴擊率\n {0}
buff_idx_5004_desc_key,환생 시 메달 획득량 증가\n{0},Medals obtained received increased by \n{0}when reborn,重生时获得奖牌增加\n{0},重生時獲得獎牌增加\n{0}
buff_idx_5005_desc_key,환생 시 메달 획득량 증가\n{0},Medals obtained received increased by \n{0}when reborn,重生时获得奖牌增加\n{0},重生時獲得獎牌增加\n{0}
buff_idx_5006_desc_key,환생 시 증가한 Stage 만큼 메달 획득\n{0},When reborn. you can get medals according to your stages \n {0},重生后.可获得增加关卡同等数量的奖牌\n {0},重生後.可獲得增加關卡同等數量的獎牌\n {0}
buff_idx_5007_desc_key,골드 획득량 증가\n{0},Gold Amount increased by \n{0},增加金币获得量\n {0},增加金幣獲得量\n {0}
buff_idx_5008_desc_key,보물상자 효율 증폭\n{0},Treasure Chest Efficiency Boost\n{0},宝箱效率提升\n {0},寶箱效率提升\n {0}
buff_idx_5009_desc_key,크리티컬 데미지 증가\n{0},critical damage increased by \n {0},增加暴击伤害\n {0},增加暴擊傷害\n {0}
buff_idx_5010_desc_key,모든 공격력 증가\n{0},all attack power increased by \n {0},提高所有攻击力\n {0},提高所有攻擊力\n {0}
buff_idx_5011_desc_key,용병이 100레벨마다 총 데미지 증가.\n{0} (최대 600% 증가),Mercenaries increase the total damage value every 100 levels. \n {0} (up to 600% increase),佣兵每100级增加总伤害值。\n {0}（最多增加600％）,傭兵每100級增加總傷害值。\n {0}（最多增加600％）
buff_idx_5012_desc_key,골드 획득량 증가\n{0},Increase the amount of gold coins obtained\n {0},增加金币获得量\n {0},增加金幣獲得量\n {0}
buff_idx_5013_desc_key,장전시 일정 확률로 즉시 재장전\n{0},Reload immediately with a certain probability when you load \n {0},在加载过程中以一定的概率立即重新加载\n {0},在加載過程中以一定的概率立即重新加載\n {0}
name_key_treasure_idx_0,속사의 리볼버,Rapid Fire Revolver,快速左轮手枪,快速左輪手槍
name_key_treasure_idx_1,VIP 회원증,VIP membership card,VIP会员卡,VIP會員卡
name_key_treasure_idx_2,황금 마차,Golden carriage,金色马车,金色馬車
name_key_treasure_idx_3,초심자의 다트,Beginner's darts,初学者的飞镖,初學者的飛鏢
name_key_treasure_idx_4,금 메달,gold medal,金牌,金牌
name_key_treasure_idx_5,메달 장식대,Medallion,奖章,獎章
name_key_treasure_idx_6,황금 트로피,Golden trophy,金奖杯,金獎杯
name_key_treasure_idx_7,황금 거위,Golden goose,黄金鹅,黃金鵝
name_key_treasure_idx_8,빛나는 열쇠,Shining key,发光钥匙,發光鑰匙
name_key_treasure_idx_9,날카로운 죽창,Sharp bamboo spear,锋利的竹矛,鋒利的竹矛
name_key_treasure_idx_10,힘의 건틀릿,Gauntlets of Strength,力量护手,力量護手
name_key_treasure_idx_11,용사의 훈장,Medal of the Champion,勇士的勋章,勇士的勳章
name_key_treasure_idx_12,미다스의 손,Midas's Hand,点金手,點金手
name_key_treasure_idx_13,속사의 장갑,Rapid Fire Gloves,快速射击手套,快速射擊手套
popup_prestige_success,환생 성공!,Reincarnation success!,重生成功！,重生成功！
Reward,보상,reward,奖励,獎勵
basic_reward,Stage 보상,Stage reward,关卡奖励,關卡獎勵
confirm,확인,Confirm,确认,確認
level_up,Level Up,Level Up,升级,升級
reach_stage,Stgae 돌파!,Break through the stgae!,突破关卡！,突破關卡！
UnitNameText,Mr.Smith,Mr.Smith,史密斯先生,史密斯先生
challenge,Challenge,Challenge,挑战,挑戰
give_up,Give Up,Give Up,放弃,放棄
prestige_desc,도달한 Stage에 따라 대량의 메달을 획득합니다!\n무기와 골드는 초기화되고 용병과 보물은 유지됩니다.,You will get a lot of medals according to your level. ! \n Weapons and gold will be reset. mercenaries and treasures will be retained.,根据您所处的关卡等级.您将获得大量奖牌！\n武器和黄金会重置.佣兵和宝藏会保留。,根據您所處的關卡等級.您將獲得大量獎牌！\n武器和黃金會重置.傭兵和寶藏會保留。
Worker,Worker,Worker,Worker,Worker
Mercenary,Staff,Staff,员工,員工
Treasure,Treasure,Treasure,宝藏,寶藏
Shop,Shop,Shop,商店,商店
gems,Gem,Gem,宝石,寶石
watch_ad,Watch AD,Watch AD,观看广告,觀看廣告
BEST,BEST,BEST,最好,最好
HIT,HIT,HIT,击中,擊中
legend,Legend,Legend,传说,傳說
prestige,Prestige,Prestige,声望,聲望
special,Special,Special,特别,特別
Collect,Collect,Collect,收集,收集
popup_ads_title,천사의 선물,Angel's gift,天使的礼物,天使的禮物
popup_reward_title,알림,notice,提醒,提醒
popup_reward_desc,보상 획득!,Got a reward!,获得奖励！,獲得獎勵！
next_projectile,New Weapon!,New Weapon!,新武器！,新武器！
popup_prestige_title,Go! Go! Prestige,Go! Go! Prestige,升起来吧！声望,升起來吧！聲望
new_record,기록 갱신!,Record has been broken!,打破记录！,打破記錄！
stage,현재 Stage,Current Stage,目前关卡,目前關卡
best_record,이전 기록,Previous record,之前的纪录,之前的紀錄
revival_idx_1_name_key,슈퍼 환생,Super rebirth,超级轮回,超級輪回
revival_idx_0_name_key,그냥 환생,Direct rebirth,直接重生,直接重生
ad,광고 시청 시,When watching an ad,观看广告时,觀看廣告時
total_reward,총 획득 메달,Medals earned overall,获得奖牌,獲得獎牌
popup_prestige_calculation_title,Go! Go! Prestige,Rebirth Statement,重生,重生
popup_prestige_success_title,Prestige Success!,Prestige Success!,重生!,重生!
treasure_idx_0_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_1_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_2_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_3_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_4_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_5_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_6_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_7_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_8_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_9_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_10_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_11_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_12_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_13_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_14_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_15_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_16_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
treasure_idx_17_condition_desc_key,STAGE{0},STAGE{0},关卡{0},關卡{0}
product_idx_101_desc_0,첫 구매 보너스 +1000,First Purchase Bonus +1000,首次购买奖励+1000,首次購買獎勵+1000
product_idx_102_desc_0,첫 구매 보너스 +3000,First Purchase Bonus +3000,首次购买奖励+3000,首次購買獎勵+3000
product_idx_103_desc_0,첫 구매 보너스 +5000,First Purchase Bonus +5000,首次购买奖励+5000,首次購買獎勵+5000
product_idx_104_desc_0,첫 구매 보너스 +10000,First Purchase Bonus +10000,首次购买奖励+10000,首次購買獎勵+10000
product_idx_105_desc_0,첫 구매 보너스 +30000,First Purchase Bonus +30000,首次购买奖励+30000,首次購買獎勵+30000
product_idx_106_desc_0,첫 구매 보너스 +50000,First Purchase Bonus +50000,首次购买奖励+50000,首次購買獎勵+50000
product_idx_101_price_desc_key,Gem 1000,Gem 1000,宝石1000,寶石1000
product_idx_111_price_desc_key,Gem 1000,Gem 1000,宝石1000,寶石1000
product_idx_102_price_desc_key,Gem 3000,Gem 3000,宝石3000,寶石3000
product_idx_112_price_desc_key,Gem 3000,Gem 3000,宝石3000,寶石3000
product_idx_103_price_desc_key,Gem 5000,Gem 5000,宝石5000,寶石5000
product_idx_113_price_desc_key,Gem 5000,Gem 5000,宝石5000,寶石5000
product_idx_104_price_desc_key,Gem 10000,Gem 10000,宝石10000,寶石10000
product_idx_114_price_desc_key,Gem 10000,Gem 10000,宝石10000,寶石10000
product_idx_105_price_desc_key,Gem 30000,Gem 30000,宝石30000,寶石30000
product_idx_115_price_desc_key,Gem 30000,Gem 30000,宝石30000,寶石30000
product_idx_106_price_desc_key,Gem 50000,Gem 50000,宝石50000,寶石50000
product_idx_116_price_desc_key,Gem 50000,Gem 50000,宝石50000,寶石50000
product_idx_100000_price_desc_key,Free! Gem 300,Free! Gem 300,免费！宝石300,免費！寶石300
achievement_idx_0_name_key,터치터치! 화면 터치하기!,Click click! Tap the screen!,点击点击！点击屏幕！,點擊點擊！點擊螢幕！
achievement_idx_1_name_key,강하다! 무기 업그레이드!,Super! Upgrade weapons!,超强！升级武器！,超強！升級武器！
achievement_idx_2_name_key,슥슥 스테이지 클리어!,Hurry up to clear the stage!,嗖嗖嗖的通关吧！,嗖嗖嗖的通關吧！
achievement_idx_3_name_key,파파박! 필살 픽셀 부시기!,Bang bang bang! Break the pixel!,砰砰砰！ 击碎砖块吧！,砰砰砰！ 擊碎磚塊吧！
achievement_idx_4_name_key,주머니 빵빵! 보물상자 획득!,Full of pockets! Got the treasure chest!,口袋满满！获得宝箱！,口袋滿滿！獲得寶箱！
mercenary_idx_10_name_key,샥크스,Sharks,鲨克斯,鯊克斯
mercenary_idx_11_name_key,월링턴,Wallington,沃灵顿,沃靈頓
mercenary_idx_12_name_key,우사기,Usagi,兔斯奇,兔斯奇
mercenary_idx_13_name_key,드래콩,Dragcong,龙龙空,龍龍空
hire,고용하기,Hiring,雇佣,雇傭
costume_idx_0_name_key,5분 대기조. 샥크스,Five minute stand-by. Sharks,速度王.鲨克斯,速度王.鯊克斯
costume_idx_1_name_key,3 대 500. 월링턴,3 against 500. Wallington,3比500。威灵顿,3比500。威靈頓
costume_idx_2_name_key,칼퇴의 요정. 우사기,Ending-on-time fairy. Usagi,准点下班王 兔斯奇,准點下班王 兔斯奇
costume_idx_3_name_key,동호회 회장. 드래콩,Club president. Dracong,俱乐部部长.龙龙空,俱樂部部長.龍龍空
weapon_name_10000,선임이 쓰던 장도리,-,-,-
weapon_name_10001,예쁜 말이 나오는 도끼,-,-,-
weapon_name_10002,연봉협상의 화살,-,-,-
weapon_name_10003,미스터 류의 사인볼,-,-,-
name_key_add_on_idx_0,오토 터치,Auto touch,自动点击,自動點擊
desc_key_add_on_idx_0,자동으로 공격합니다!,Attack automatically!,自动攻击！,自動攻擊！
buff_idx_10000_name_key,데미지 x2,Final damage doubled!,最终伤害加倍！,最終傷害加倍！
buff_idx_10001_name_key,골드 x2,Double the amount of gold!,获得的金量翻倍！,獲得的金量翻倍！
buff_idx_10000_desc_key,최종 데미지가 2배로 증가합니다!,Final damage doubled!,最终伤害加倍！,最終傷害加倍！
buff_idx_10001_desc_key,골드 획득량이 2배로 증가합니다!,Gold income doubled!,黄金收益翻倍！,黃金收益翻倍！
real_time_dps,실시간 DPS,Real-time DPS,实时DPS,即時DPS
worker_dps,일꾼 DPS,Worker DPS,worker DPS,worker DPS
merceary_dps,동료 DPS,Partner DPS,同伴DPS,同伴DPS
popup_ad_free_func_title,무료 버프,Free buff,免费buff,免費buff
Watch AD,광고 시청,Watch ad,观看广告,觀看廣告
duration_time,버프 지속시간,Buff duration,buff持续时间,buff持續時間
Off,Off,Off,Off,Off
On,On,On,On,On
popup_help_title,도움말,Help,帮助,幫助
help_ad_free_func,아주 강력한 무료로 버프를 받아보세요.\n광고만 시청하면 빵빵한 버프가 들어옵니다.\n\n1. 오토 터치\n터치를 하지 않아도 자동으로 공격합니다!\n\n2. 최종 데미지 2배!\n모든 데미지가 200%로 증가합니다!\n\n3. 골드 획득량 2배!\n골드 획득량이 200%로 증가합니다!,Get very powerful buff for free.\nYou only need to watch an ad and you'll get a full buff.\n\n1. Auto Touch\n You can attack automatically without tapping!\n\n2. Double final damage! \nAll damage is increased to 200%!\n\n3. Double the amount of gold!\nThe amount of gold is increased to 200%!,来免费获得超级强大的增益效果吧.\n观看广告就可以拥有强大的buff.\n\n1. 自动点击\n不需要点击就可以自动攻击!\n\n2. 最终伤害值2倍!\n所有伤害值都增加到200%!\n\n3. 金币获得量2倍!\n金币获得量增加到200%!,來免費獲得超級強大的增益效果吧.\n觀看廣告就可以擁有強大的buff.\n\n1. 自動點擊\n不需要點擊就可以自動攻擊!\n\n2. 最終傷害值2倍!\n所有傷害值都增加到200%!\n\n3. 金幣獲得量2倍!\n金幣獲得量增加到200%!
projectile_collection,보유한 무기 종류,Type of weapon possessed,所拥有的武器类型,所擁有的武器類型
costume_collection,보유한 의상 종류,Type of clothing possessed,所拥有的服装类型,所擁有的服裝類型
projectile,무기,weapon,武器,武器
costume,의상,costume,服装,服裝
euip,장착하기,equip,装备,裝備
popup_gacha,돌려라! 가챠머신!,Turn it around! Gacha machine!,转起来吧！扭蛋机！,轉起來吧！扭蛋機！
times,{0}회,time,次,次
gacha,가챠,Gacha,扭蛋,扭蛋
weapon,무기,weapon,武器,武器
popup_mission_title,업적,Achievements,成就,成就
overlap_multi,지속시간,duration,持续时间,持續時間
not_applied_projectile,무기 미착용,No weapons equipped,未装备武器,未裝備武器
not_applied_costume,코스튬 미착용,No costume,未装备服装,未裝備服裝
projectile_num,탄,shot,发,發
step,단계,stage,阶段,階段
popup_yesno_message_party_preset_not_saved,프리셋이 저장되지 않습니다. 팝업을 닫으시겠습니까?,You haven't saved the lineup.\nAre you sure to close it?\n\n! Press press the button apply to save it.,没有组队配置存储信息。\n要将弹窗关闭么？\n\n!你需要点击应用才能适配上！,沒有組隊配置存儲資訊。\n要將彈窗關閉麼？\n\n!你需要點擊應用才能適配上！
help_gacha,가챠를 구매해서 동료들을 꾸며주세요!\n무기와 코스튬을 뽑아서 내 동료를 더 강하게!\n\n똑같은 시너지를 지닌 무기와 코스튬을 입히면 숨겨진 힘이 나타납니다!\n동료에게 멋진 코스튬과 잘 어울리는 무기를 끼워주세요!\n\n확률고지!\n일반 : 89.00%\n고급 : 10.00%\n희귀 : 1.00%,You can dress up your partners by gacha!\n Pull out weapons and costumes to make your partners stronger!\n\n You will find hidden power when you wear weapons and costumes with the same synergy!\n Equip weapon that goes well with the best costume!\n\nProbability notice!\nNormal: 89.00%\nAdvanced: 10.00%\nRare: 1.00%,购买扭蛋币来打扮你的同伴吧！\n抽取武器和服装.让我的同伴变得更强！!\n\n如果装备了组合效果的武器和服装会出现隐藏的力量哦！!\n快给同伴配上酷炫的服装和合适的武器吧！\ n \ n概率通知！\ n普通：89.00％\ n高级：10.00％\ n稀有率：1.00％,
system_message_on_ad_free_func,{0} 켜졌습니다!,{0} starts now!,{0} 从现在开始,{0} 從現在開始
system_message_off_ad_free_func,{0} 꺼졌습니다!,{0} has been terminated.,{0} 已结束,{0} 已經結束
SYSTEM_MESSAGE_NOT_ENOUGH_BASIC_CURRNECY,재화가 부족합니다.,You don't have enough money,货币不足,貨幣不足
system_message_not_loaded_reward_ads,광고가 없습니다.,No ads can be loaded.,没有广告,沒有廣告
system_message_iap_there_is_no_product,관련 상품이 없습니다.,No related products.,没有相关商品。,沒有相關商品。
system_message_iap_fail_purchase_product,구매에 실패했습니다.,Failed to buy.,购买失败,購買失敗
system_message_iap_fail_duplicate_product,중복된 구매입니다.,Duplicate purchase.,重复购买,重複購買
SYSTEM_MESSAGE_PRODUCT_SOLD_OUT,오늘은 더이상 구매할 수 없습니다.,You can't buy it anymore today.,今天无法再购买了。,今天無法再購買了。
SYSTEM_MESSAGE_PRODUCT_FAILED_TO_RECEIVE_PRICE_INFORMATION,상품 가격 정보를 가져올 수 없습니다.,Failed to load the information of product's price.,无法加载商品的价格信息。,無法加載商品的價格資訊。
quest_idx_0_title_key,화면을 터치해주세요.,Touch the screen.,请触摸屏幕。,請觸摸屏幕。
quest_idx_10_title_key,화면을 10번 터치해주세요.,Touch the screen 10 times.,请触摸屏幕10次。,請觸摸屏幕10次。
quest_idx_20_title_key,픽셀을 10개 부셔주세요.,-,-,-
